filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,30534,3,62395.441,15.461343750001106,True,15.023547191037151,6.58195538,2380.32757,2246.0,Y106,2225.7100708155035,47.10131899063708,1.3288769,22.644,364
Y106,30929,4,62400.493,10.409343749997788,True,15.023547191017874,5.96556506,4199.45425,4115.0,Y106,4115.976199427293,47.10131899063708,1.3288769,22.644,364
Y106,32484,4,62420.57,9.667656249999709,True,15.02354719104931,5.4675258,6643.67771,6625.0,Y106,6586.909736254403,47.10131899063708,1.3288769,22.644,364
Y106,32874,5,62425.596,14.69365624999773,True,15.023547191154352,5.57914947,5994.58453,6069.0,Y106,6150.809740944131,47.10131899063708,1.3288769,22.644,364
Y106,31319,7,62405.519,5.383343749999767,True,15.023547190826868,5.61612121,5793.89194,5683.0,Y106,5617.7068596311965,47.10131899063708,1.3288769,22.644,364
Y106,31709,7,62410.545,0.35734375000174623,True,15.02354719114014,5.43555074,6842.24439,6839.0,Y106,6976.092568700022,47.10131899063708,1.3288769,22.644,364
Y106,33259,10,62430.596,19.69365624999773,True,15.023547191018942,5.73393726,5198.09211,5175.0,Y106,5225.709722704952,47.10131899063708,1.3288769,22.644,364
Y106,31314,10,62405.493,5.409343749997788,True,15.02354719085931,5.61751135,5786.4784,5763.0,Y106,5875.361592239504,47.10131899063708,1.3288769,22.644,364
Y106,30924,11,62400.467,10.435343750003085,True,15.023547190986632,5.96801626,4189.98408,4329.0,Y106,4285.586404890616,47.10131899063708,1.3288769,22.644,364
Y106,31699,16,62410.493,0.4093437499977881,True,15.023547190987891,5.43703278,6832.91102,6826.0,Y106,6949.9431741496155,47.10131899063708,1.3288769,22.644,364
